"";"variedade";"falante";"acento";"estruturafrasal";"modiladide";"repeticao";"escolaridade";"genero";"vogal";"F0";"INT";"DUR"
"1";"cameta";"BE51";"Oxítono";"bwk";"A";1;"Fund";"F";"V4";-1,05198919045423;-7,79867349731047;-1,84182184054476
"2";"cameta";"BE51";"Oxítono";"bwk";"A";1;"Fund";"F";"V3";-0,843619193880812;-7,79867349731047;0,286618389884317
"3";"cameta";"BE51";"Oxítono";"bwk";"A";1;"Fund";"F";"V2";1,71407944617855;2,20132650268953;2,68185983433092
"4";"cameta";"BE51";"Oxítono";"bwk";"A";1;"Fund";"F";"V1";-1,15407691365501;-3,79867349731047;4,95
"5";"cameta";"BE51";"Oxítono";"bwk";"A";2;"Fund";"F";"V4";-1,24875253722954;-9,79867349731047;-1,84182184054476
"6";"cameta";"BE51";"Oxítono";"bwk";"A";2;"Fund";"F";"V3";-0,856288310195547;-10,7986734973105;0,286618389884317
"7";"cameta";"BE51";"Oxítono";"bwk";"A";2;"Fund";"F";"V2";2,14875655050893;-0,798673497310475;2,68185983433092
"8";"cameta";"BE51";"Oxítono";"bwk";"A";2;"Fund";"F";"V1";0,316349105132446;-5,79867349731047;5,45
"9";"cameta";"BE51";"Oxítono";"bwk";"A";3;"Fund";"F";"V4";-2,23788692474218;-7,79867349731047;-0,0877058019307029
"10";"cameta";"BE51";"Oxítono";"bwk";"A";3;"Fund";"F";"V3";-2,10379896891245;-13,7986734973105;-0,0318464877649241
"11";"cameta";"BE51";"Oxítono";"bwk";"A";3;"Fund";"F";"V2";0,0160293248561819;1,20132650268953;2,47713770957284
"12";"cameta";"BE51";"Oxítono";"bwk";"A";3;"Fund";"F";"V1";-1,31968780793267;-5,79867349731047;4,95
"13";"cameta";"BE51";"Oxítono";"bwk";"I";1;"Fund";"F";"V4";0,200147045725946;-8,79867349731047;-0,964763821237732
"14";"cameta";"BE51";"Oxítono";"bwk";"I";1;"Fund";"F";"V3";-1,23340590905623;-9,79867349731047;-0,254771902119393
"15";"cameta";"BE51";"Oxítono";"bwk";"I";1;"Fund";"F";"V2";-2,308484342547;-0,798673497310475;1,35116602340337
"16";"cameta";"BE51";"Oxítono";"bwk";"I";1;"Fund";"F";"V1";3,70047513978918;-1,79867349731047;5,55
"17";"cameta";"BE51";"Oxítono";"bwk";"I";2;"Fund";"F";"V4";-0,471474599584629;-6,79867349731047;-1,00861672220308
"18";"cameta";"BE51";"Oxítono";"bwk";"I";2;"Fund";"F";"V3";-2,24046259100388;-11,7986734973105;-0,414004340944013
"19";"cameta";"BE51";"Oxítono";"bwk";"I";2;"Fund";"F";"V2";-1,90679855825333;1,20132650268953;1,28974938597594
"20";"cameta";"BE51";"Oxítono";"bwk";"I";2;"Fund";"F";"V1";1,7850015456747;-0,798673497310475;4,25
"21";"cameta";"BE51";"Oxítono";"bwk";"I";3;"Fund";"F";"V4";-1,09078833316087;-6,79867349731047;1,18402832606449
"22";"cameta";"BE51";"Oxítono";"bwk";"I";3;"Fund";"F";"V3";-1,93605067466072;-11,7986734973105;-0,573236779768634
"23";"cameta";"BE51";"Oxítono";"bwk";"I";3;"Fund";"F";"V2";-3,12027228675641;0,201326502689525;1,49447151073403
"24";"cameta";"BE51";"Oxítono";"bwk";"I";3;"Fund";"F";"V1";1,09109746565508;0,201326502689525;3,35
"25";"cameta";"BE51";"Paroxítono";"bwt";"A";1;"Fund";"F";"V4";-0,858796799764955;-6,79867349731047;0,348742916231458
"26";"cameta";"BE51";"Paroxítono";"bwt";"A";1;"Fund";"F";"V3";-0,226935473369773;-6,79867349731047;4,43222465412296
"27";"cameta";"BE51";"Paroxítono";"bwt";"A";1;"Fund";"F";"V2";0,0810200600104783;-1,79867349731047;3,12726618861155
"28";"cameta";"BE51";"Paroxítono";"bwt";"A";1;"Fund";"F";"V1";-2,30870026233314;-20,7986734973105;-2,71428571428571
"29";"cameta";"BE51";"Paroxítono";"bwt";"A";2;"Fund";"F";"V4";-1,99543998728031;-8,79867349731047;1,97620985864493
"30";"cameta";"BE51";"Paroxítono";"bwt";"A";2;"Fund";"F";"V3";-1,03080654569587;-10,7986734973105;3,7262065676255
"31";"cameta";"BE51";"Paroxítono";"bwt";"A";2;"Fund";"F";"V2";-0,865477770631676;-6,79867349731047;2,98511772549284
"32";"cameta";"BE51";"Paroxítono";"bwt";"A";2;"Fund";"F";"V1";-2,81892110656153;-20,7986734973105;-1,78571428571429
"33";"cameta";"BE51";"Paroxítono";"bwt";"A";3;"Fund";"F";"V4";-0,488146826357611;-5,79867349731047;6,10300103405051
"34";"cameta";"BE51";"Paroxítono";"bwt";"A";3;"Fund";"F";"V3";2,14822927377928;-1,79867349731047;5,17746596764806
"35";"cameta";"BE51";"Paroxítono";"bwt";"A";3;"Fund";"F";"V2";-1,07004940201765;-3,79867349731047;2,98511772549284
"36";"cameta";"BE51";"Paroxítono";"bwt";"A";3;"Fund";"F";"V1";-4,24812239083913;-18,7986734973105;-2,07142857142857
"37";"cameta";"BE51";"Paroxítono";"bwt";"I";1;"Fund";"F";"V4";-0,309650458495284;-2,79867349731047;-0,813733471206735
"38";"cameta";"BE51";"Paroxítono";"bwt";"I";1;"Fund";"F";"V3";-1,35712274087901;-7,79867349731047;2,31417039463057
"39";"cameta";"BE51";"Paroxítono";"bwt";"I";1;"Fund";"F";"V2";-1,36821650105756;-1,79867349731047;2,47744464292603
"40";"cameta";"BE51";"Paroxítono";"bwt";"I";1;"Fund";"F";"V1";-1,79442933013592;-21,7986734973105;0,714285714285714
"41";"cameta";"BE51";"Paroxítono";"bwt";"I";2;"Fund";"F";"V4";-0,238243875557259;-3,79867349731047;1,62746694241347
"42";"cameta";"BE51";"Paroxítono";"bwt";"I";2;"Fund";"F";"V3";-2,17721503282766;-5,79867349731047;2,39261684868585
"43";"cameta";"BE51";"Paroxítono";"bwt";"I";2;"Fund";"F";"V2";-2,37243776506892;0,201326502689525;3,18818695851956
"44";"cameta";"BE51";"Paroxítono";"bwt";"I";2;"Fund";"F";"V1";-1,9674768074361;-12,7986734973105;-1,35714285714286
"45";"cameta";"BE51";"Paroxítono";"bwt";"I";3;"Fund";"F";"V4";-0,47051036013256;-8,79867349731047;5,81238193719096
"46";"cameta";"BE51";"Paroxítono";"bwt";"I";3;"Fund";"F";"V3";-3,40529944233048;-10,7986734973105;-1,60815230813311
"47";"cameta";"BE51";"Paroxítono";"bwt";"I";3;"Fund";"F";"V2";-3,21501250869029;-1,79867349731047;2,82266233907146
"48";"cameta";"BE51";"Paroxítono";"bwt";"I";3;"Fund";"F";"V1";-3,81869460351659;-20,7986734973105;-3,42857142857143
"49";"cameta";"BE51";"Oxítono";"dwk";"A";1;"Fund";"F";"V4";-2,17726265015157;-11,7986734973105;-0,964763821237732
"50";"cameta";"BE51";"Oxítono";"dwk";"A";1;"Fund";"F";"V3";-2,49818276252163;-14,7986734973105;0,828008681888027
"51";"cameta";"BE51";"Oxítono";"dwk";"A";1;"Fund";"F";"V2";-1,88958143373048;-3,79867349731047;2,47713770957284
"52";"cameta";"BE51";"Oxítono";"dwk";"A";1;"Fund";"F";"V1";-3,14804851864686;-10,7986734973105;4,4
"53";"cameta";"BE51";"Oxítono";"dwk";"A";2;"Fund";"F";"V4";-1,34893038900474;-8,79867349731047;-1,49099863282195
"54";"cameta";"BE51";"Oxítono";"dwk";"A";2;"Fund";"F";"V3";-1,45599802725589;-10,7986734973105;0
"55";"cameta";"BE51";"Oxítono";"dwk";"A";2;"Fund";"F";"V2";-0,189227389229681;-0,798673497310475;1,80155469787115
"56";"cameta";"BE51";"Oxítono";"dwk";"A";2;"Fund";"F";"V1";-0,781639296089087;-7,79867349731047;4,25
"57";"cameta";"BE51";"Oxítono";"dwk";"A";3;"Fund";"F";"V4";-1,88978835702016;-9,79867349731047;-1,18402832606449
"58";"cameta";"BE51";"Oxítono";"dwk";"A";3;"Fund";"F";"V3";-2,14437433438053;-8,79867349731047;0,796162194123103
"59";"cameta";"BE51";"Oxítono";"dwk";"A";3;"Fund";"F";"V2";-0,0643048135746606;4,20132650268953;2,23147115986313
"60";"cameta";"BE51";"Oxítono";"dwk";"A";3;"Fund";"F";"V1";-1,08318136406182;-0,798673497310475;6,45
"61";"cameta";"BE51";"Oxítono";"dwk";"I";1;"Fund";"F";"V4";1,44386683910643;-1,79867349731047;-2,10493924633687
"62";"cameta";"BE51";"Oxítono";"dwk";"I";1;"Fund";"F";"V3";-0,118935211016885;-4,79867349731047;-0,127385951059696
"63";"cameta";"BE51";"Oxítono";"dwk";"I";1;"Fund";"F";"V2";-1,49498358094025;3,20132650268953;1,41258266083079
"64";"cameta";"BE51";"Oxítono";"dwk";"I";1;"Fund";"F";"V1";1,80462071921283;0,201326502689525;4,2
"65";"cameta";"BE51";"Oxítono";"dwk";"I";2;"Fund";"F";"V4";-0,0390345201523038;-6,79867349731047;-1,40329283089125
"66";"cameta";"BE51";"Oxítono";"dwk";"I";2;"Fund";"F";"V3";-1,69220529144017;-11,7986734973105;-0,15923243882462
"67";"cameta";"BE51";"Oxítono";"dwk";"I";2;"Fund";"F";"V2";-2,8787055722235;-0,798673497310475;1,63777699806469
"68";"cameta";"BE51";"Oxítono";"dwk";"I";2;"Fund";"F";"V1";0,123226884311308;-4,79867349731047;6,5
"69";"cameta";"BE51";"Oxítono";"dwk";"I";3;"Fund";"F";"V4";3,87512953137128;-0,798673497310475;-0,482381910618866
"70";"cameta";"BE51";"Oxítono";"dwk";"I";3;"Fund";"F";"V3";0,349931774838282;-4,79867349731047;-0,382157853179089
"71";"cameta";"BE51";"Oxítono";"dwk";"I";3;"Fund";"F";"V2";-0,515846423315073;4,20132650268953;2,12911009748409
"72";"cameta";"BE51";"Oxítono";"dwk";"I";3;"Fund";"F";"V1";1,86563788557659;1,20132650268953;7,2
"73";"cameta";"BE51";"Proparoxítono";"dwp";"A";1;"Fund";"F";"V4";-0,53845447375403;-6,79867349731047;3,57473929985767
