duracao;intensidade;f01;f02;f03;falante;modalidade;frase;acento;escolaridade;genero;vogal;Variedade;intst;f0st;durz;n_vogais
115;68;208;195;205;1;a;kwk;oxitona;fundamental;feminino;V1;Mazagao;-1,161;2,191;0,084;9
200;59;198;104;204;1;a;kwk;oxitona;fundamental;feminino;V2;Mazagao;-10,161;-0,988;0,881;9
170;66;192;206;214;1;a;kwk;oxitona;fundamental;feminino;V3;Mazagao;-3,161;2,304;0,600;9
75;59;227;203;185;1;a;kwk;oxitona;fundamental;feminino;V4;Mazagao;-10,161;2,389;-0,290;9
70;53;198;185;176;1;a;kwk;oxitona;fundamental;feminino;V1;Mazagao;-16,161;0,736;-0,337;9
115;68;208;195;205;1;a;kwk;oxitona;fundamental;feminino;V2;Mazagao;-1,161;2,191;0,084;9
220;59;198;105;200;1;a;kwk;oxitona;fundamental;feminino;V3;Mazagao;-10,161;-1,091;1,068;9
170;66;192;206;214;1;a;kwk;oxitona;fundamental;feminino;V4;Mazagao;-3,161;2,304;0,600;9
0;0;50;50;50;1;a;kwk;oxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
70;53;198;185;176;1;a;kwk;oxitona;fundamental;feminino;V2;Mazagao;-16,161;0,736;-0,337;9
114;67;208;195;205;1;a;kwk;oxitona;fundamental;feminino;V3;Mazagao;-2,161;2,191;0,075;9
209;59;198;104;202;1;a;kwk;oxitona;fundamental;feminino;V4;Mazagao;-10,161;-1,057;0,965;9
37;54;140;141;132;1;a;kwk;oxitona;fundamental;feminino;V1;Mazagao;-15,161;-4,504;-0,646;9
0;0;50;50;50;1;i;kwk;oxitona;fundamental;feminino;V2;Mazagao;-69,161;-22,039;-0,993;9
70;56;182;184;176;1;i;kwk;oxitona;fundamental;feminino;V3;Mazagao;-13,161;0,201;-0,337;9
167;67;201;182;185;1;i;kwk;oxitona;fundamental;feminino;V4;Mazagao;-2,161;1,013;0,571;9
87;65;185;166;162;1;i;kwk;oxitona;fundamental;feminino;V1;Mazagao;-4,161;-0,751;-0,178;9
153;56;159;179;220;1;i;kwk;oxitona;fundamental;feminino;V2;Mazagao;-13,161;0,705;0,440;9
0;0;50;50;50;1;i;kwk;oxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
80;50;183;199;195;1;i;kwk;oxitona;fundamental;feminino;V4;Mazagao;-19,161;1,285;-0,244;9
60;45;177;178;168;1;i;kwk;oxitona;fundamental;feminino;V1;Mazagao;-24,161;-0,416;-0,431;9
110;58;163;152;153;1;i;kwk;oxitona;fundamental;feminino;V2;Mazagao;-11,161;-2,340;0,037;9
132;51;158;176;210;1;i;kwk;oxitona;fundamental;feminino;V3;Mazagao;-18,161;0,265;0,244;9
0;0;50;50;50;1;i;kwk;oxitona;fundamental;feminino;V4;Mazagao;-69,161;-22,039;-0,993;9
58;50;189;184;179;1;i;kwk;oxitona;fundamental;feminino;V1;Mazagao;-19,161;0,518;-0,450;9
79;45;177;175;162;1;i;kwk;oxitona;fundamental;feminino;V2;Mazagao;-24,161;-0,717;-0,253;9
110;58;163;152;153;1;i;kwk;oxitona;fundamental;feminino;V3;Mazagao;-11,161;-2,340;0,037;9
132;51;158;176;210;1;i;kwk;oxitona;fundamental;feminino;V4;Mazagao;-18,161;0,265;0,244;9
40;64;218;212;204;1;a;kwp;proparoxitona;fundamental;feminino;V1;Mazagao;-5,161;2,916;-0,618;9
50;56;224;222;213;1;a;kwp;proparoxitona;fundamental;feminino;V2;Mazagao;-13,161;3,585;-0,525;9
150;69;176;151;168;1;a;kwp;proparoxitona;fundamental;feminino;V3;Mazagao;-0,161;-1,369;0,412;9
60;57;165;134;124;1;a;kwp;proparoxitona;fundamental;feminino;V4;Mazagao;-12,161;-4,090;-0,431;9
160;70;191;210;255;1;a;kwp;proparoxitona;fundamental;feminino;V1;Mazagao;0,839;3,506;0,506;9
40;64;218;212;204;1;a;kwp;proparoxitona;fundamental;feminino;V2;Mazagao;-5,161;2,916;-0,618;9
54;55;224;221;213;1;a;kwp;proparoxitona;fundamental;feminino;V3;Mazagao;-14,161;3,559;-0,487;9
150;69;176;151;168;1;a;kwp;proparoxitona;fundamental;feminino;V4;Mazagao;-0,161;-1,369;0,412;9
140;65;188;216;205;1;a;kwp;proparoxitona;fundamental;feminino;V1;Mazagao;-4,161;2,219;0,318;9
160;70;191;210;255;1;a;kwp;proparoxitona;fundamental;feminino;V2;Mazagao;0,839;3,506;0,506;9
40;64;218;212;204;1;a;kwp;proparoxitona;fundamental;feminino;V3;Mazagao;-5,161;2,916;-0,618;9
45;56;224;223;214;1;a;kwp;proparoxitona;fundamental;feminino;V4;Mazagao;-13,161;3,638;-0,571;9
150;70;186;187;188;1;i;kwp;proparoxitona;fundamental;feminino;V1;Mazagao;0,839;0,798;0,412;9
170;63;189;212;189;1;i;kwp;proparoxitona;fundamental;feminino;V2;Mazagao;-6,161;1,671;0,600;9
120;70;202;215;230;1;i;kwp;proparoxitona;fundamental;feminino;V3;Mazagao;0,839;3,267;0,131;9
50;66;245;198;179;1;i;kwp;proparoxitona;fundamental;feminino;V4;Mazagao;-3,161;2,585;-0,525;9
50;57;187;198;199;1;i;kwp;proparoxitona;fundamental;feminino;V1;Mazagao;-12,161;1,494;-0,525;9
130;71;208;199;198;1;i;kwp;proparoxitona;fundamental;feminino;V2;Mazagao;1,839;2,105;0,225;9
140;65;201;220;185;1;i;kwp;proparoxitona;fundamental;feminino;V3;Mazagao;-4,161;2,134;0,318;9
140;71;197;231;251;1;i;kwp;proparoxitona;fundamental;feminino;V4;Mazagao;1,839;4,103;0,318;9
0;0;50;50;50;1;i;kwp;proparoxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
80;58;179;181;177;1;i;kwp;proparoxitona;fundamental;feminino;V2;Mazagao;-11,161;0,041;-0,244;9
150;70;186;187;188;1;i;kwp;proparoxitona;fundamental;feminino;V3;Mazagao;0,839;0,798;0,412;9
170;63;189;212;189;1;i;kwp;proparoxitona;fundamental;feminino;V4;Mazagao;-6,161;1,671;0,600;9
34;46;138;138;138;1;i;kwp;proparoxitona;fundamental;feminino;V1;Mazagao;-23,161;-4,462;-0,674;9
140;69;212;188;188;1;a;kwt;paroxitona;fundamental;feminino;V1;Mazagao;-0,161;1,612;0,318;9
190;63;190;217;211;1;a;kwt;paroxitona;fundamental;feminino;V2;Mazagao;-6,161;2,473;0,787;9
190;68;188;223;269;1;a;kwt;paroxitona;fundamental;feminino;V3;Mazagao;-1,161;4,128;0,787;9
64;62;260;225;218;1;a;kwt;paroxitona;fundamental;feminino;V4;Mazagao;-7,161;4,704;-0,393;9
50;52;193;195;182;1;a;kwt;paroxitona;fundamental;feminino;V1;Mazagao;-17,161;1,073;-0,525;9
140;69;212;188;188;1;a;kwt;paroxitona;fundamental;feminino;V2;Mazagao;-0,161;1,612;0,318;9
190;63;190;217;211;1;a;kwt;paroxitona;fundamental;feminino;V3;Mazagao;-6,161;2,473;0,787;9
190;68;188;223;269;1;a;kwt;paroxitona;fundamental;feminino;V4;Mazagao;-1,161;4,128;0,787;9
0;0;50;50;50;1;a;kwt;paroxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
50;52;193;195;182;1;a;kwt;paroxitona;fundamental;feminino;V2;Mazagao;-17,161;1,073;-0,525;9
140;69;212;188;188;1;a;kwt;paroxitona;fundamental;feminino;V3;Mazagao;-0,161;1,612;0,318;9
190;63;190;217;211;1;a;kwt;paroxitona;fundamental;feminino;V4;Mazagao;-6,161;2,473;0,787;9
0;0;50;50;50;1;a;kwt;paroxitona;fundamental;feminino;V1;Mazagao;-69,161;-22,039;-0,993;9
0;0;50;50;50;1;i;kwt;paroxitona;fundamental;feminino;V2;Mazagao;-69,161;-22,039;-0,993;9
60;54;216;223;222;1;i;kwt;paroxitona;fundamental;feminino;V3;Mazagao;-15,161;3,638;-0,431;9
170;67;228;213;208;1;i;kwt;paroxitona;fundamental;feminino;V4;Mazagao;-2,161;3,321;0,600;9
190;64;177;202;207;1;i;kwt;paroxitona;fundamental;feminino;V1;Mazagao;-5,161;1,553;0,787;9
0;0;50;50;50;1;i;kwt;paroxitona;fundamental;feminino;V2;Mazagao;-69,161;-22,039;-0,993;9
0;0;50;50;50;1;i;kwt;paroxitona;fundamental;feminino;V3;Mazagao;-69,161;-22,039;-0,993;9
